item,ID,itemLabel,stateLabel,countyLabel,latitude,longitude,inception,height in ,focalHeight,range in nauticalmiles,lightCharacteristic,heritageDesignation,image,yearOfTransfer,"
proceeds",satImage,noSatImg,Conveyd Lightstaition
http://www.wikidata.org/entity/Q7611130,Q7611130,Stepping Stones Light,New York,New York,40.824333,-73.77475,1877,14,14,8,Oc G 4s,http://www.wikidata.org/entity/Q19558910,http://commons.wikimedia.org/wiki/Special:FilePath/Stepping%20Stones%20Light%202006.jpg,2008,,,,LocalGov
http://www.wikidata.org/entity/Q7621171,Q7621171,Straitsmouth Island Light,Massachusetts,Rockport,42.6623,-70.5881,1835,11,14,6,Fl G 6s,http://www.wikidata.org/entity/Q19558910,http://commons.wikimedia.org/wiki/Special:FilePath/Straitsmouth%20Island%20Lighthouse%20MA.JPG,2013,,,,LocalGov
http://www.wikidata.org/entity/Q108901001,Q108901001,Thomas Point Shoal Light,Maryland,Anne Arundel County,38.903389,-76.438570,1875,39,13,16,Fl W 5s (two R sectors),,http://commons.wikimedia.org/wiki/Special:FilePath/Thomas_Point_Shoal_Light_House_%2821601320915%29.jpg,2004,,,x,LocalGov
http://www.wikidata.org/entity/Q7986262,Q7986262,West Point Light,Washington,Seattle,47.661972,-122.435667,1881,7,8,13,Alt WR 10s,http://www.wikidata.org/entity/Q19558910,http://commons.wikimedia.org/wiki/Special:FilePath/Fort%20Lawton%20West%20Point%20Lighthouse%2003.jpg,2005,,,,LocalGov
http://www.wikidata.org/entity/Q4734801,Q4734801,Alpena Light,Michigan,Alpena,45.060278,-83.423056,1875,10,13,12,Fl R 6s,http://www.wikidata.org/entity/Q19558910,http://commons.wikimedia.org/wiki/Special:FilePath/Lighthouse%20at%20Alpena%20MI%202005-09.jpeg,2013,,,,ngo
http://www.wikidata.org/entity/Q726301,Q726301,Ashtabula Harbor Light,Ohio,Ashtabula County,41.9186,-80.7959,1905,12,16,8,Fl Y 6s,http://www.wikidata.org/entity/Q19558910,http://commons.wikimedia.org/wiki/Special:FilePath/Ashtabula%20harbor%20light.JPG,2007,,,,ngo
http://www.wikidata.org/entity/Q4849264,Q4849264,Bakers Island Light,Massachusetts,Salem,42.536444,-70.785917,1791,18,34,14,Al WR 20s,http://www.wikidata.org/entity/Q19558910,http://commons.wikimedia.org/wiki/Special:FilePath/Bakers%20island%20light.jpg,2014,,,,ngo
http://www.wikidata.org/entity/Q4957291,Q4957291,Brandywine Shoal Light,New Jersey,Cape May County,38.9864,-75.1135,1828,14,18,13,"FI W 10s, R sector",http://www.wikidata.org/entity/Q19558910,http://commons.wikimedia.org/wiki/Special:FilePath/BrandywineShoalLight.jpg,2013,,,x,ngo
http://www.wikidata.org/entity/Q15207418,Q15207418,Cape San Juan Light,Puerto Rico,Fajardo,18.38111111,-65.61825,1882,14,79,26,Fl W 15s,http://www.wikidata.org/entity/Q19558910,http://commons.wikimedia.org/wiki/Special:FilePath/Las%20Cabezas%20de%20San%20Juan%20Lighthouse2.jpg,2010,,,,ngo
http://www.wikidata.org/entity/Q3308122,Q3308122,Currituck Beach Lighthouse,North Carolina,Corolla,36.376667,-75.830833,1875,49,64,18,Fl W 20s,http://www.wikidata.org/entity/Q19558910,http://commons.wikimedia.org/wiki/Special:FilePath/99000911%20currituck.jpg,2010,,,,ngo
http://www.wikidata.org/entity/Q5244123,Q5244123,DeTour Reef Light,Michigan,Chippewa County,45.948889,-83.903056,1931,19,23,13,Fl W 10s,http://www.wikidata.org/entity/Q19558910,http://commons.wikimedia.org/wiki/Special:FilePath/DeTour%20Reef%20Light%20Station%20-%20Michigan.jpg,2010,,,x,ngo
http://www.wikidata.org/entity/Q5317656,Q5317656,Duxbury Pier Light,Massachusetts,Plymouth County,41.987425,-70.64854722,1871,14,11,6,Fl(2) R 5s,http://www.wikidata.org/entity/Q19558910,http://commons.wikimedia.org/wiki/Special:FilePath/Duxbury%20Pier%20light%20house%20in%20Plymouth%20harbor.jpg,2016,,,,ngo
http://www.wikidata.org/entity/Q5398653,Q5398653,Esopus Meadows Light,New York,Ulster County,41.868389,-73.941611,1839,17,18,6,Fl W 2.5s,http://www.wikidata.org/entity/Q19558910,http://commons.wikimedia.org/wiki/Special:FilePath/Esopus%20Meadows%20Lighthouse%202011.jpg,2002,,,,ngo
http://www.wikidata.org/entity/Q5419772,Q5419772,Execution Rocks Light,New York,New Rochelle,40.878139,-73.737861,1849,18,19,15,Fl W 10s,http://www.wikidata.org/entity/Q19558910,http://commons.wikimedia.org/wiki/Special:FilePath/Line4046%20-%20Flickr%20-%20NOAA%20Photo%20Library.jpg,2009,,,x,ngo
http://www.wikidata.org/entity/Q2790673,Q2790673,Five Finger Islands Light,Alaska,Petersburg Borough,57.270556,-133.630278,1902,"20,7",25,18,Fl W 10s,http://www.wikidata.org/entity/Q19558910,http://commons.wikimedia.org/wiki/Special:FilePath/USCGfivefinger1935.JPG,2004,,,x,ngo
http://www.wikidata.org/entity/Q16840779,Q16840779,Grand Haven South Pierhead Inner Light,Michigan,Grand Haven,43.057222222,-86.253888888,1881,15,16,3,Oc R 4s,,http://commons.wikimedia.org/wiki/Special:FilePath/Grand%20Haven%20Lights.jpg,2012,,,,ngo
http://www.wikidata.org/entity/Q5598355,Q5598355,Grays Harbor Light,Washington,Grays Harbor County,46.8884,-124.117,1889,33,37,19,Alt WR 30s,http://www.wikidata.org/entity/Q19558910,http://commons.wikimedia.org/wiki/Special:FilePath/GraysHarborWestportLightNpsPhoto2000.jpg,2004,,,,ngo
http://www.wikidata.org/entity/Q5617748,Q5617748,Gull Rock Light Station,Michigan,Keweenaw County,47.417222,-87.663611,1867,14,15,6,Fl(2) W 5s,http://www.wikidata.org/entity/Q19558910,http://commons.wikimedia.org/wiki/Special:FilePath/GullrocksMI.jpg,2005,,,,ngo
http://www.wikidata.org/entity/Q5654695,Q5654695,Harbor of Refuge Light,Delaware,Sussex County,38.8146,-75.0924,1908,23,22,16,"FI W 5s, R sector",http://www.wikidata.org/entity/Q1129142,http://commons.wikimedia.org/wiki/Special:FilePath/Harbor%20of%20Refuge%20lighthouse%20USACE%202011-12-14.jpg,2004,,,,ngo
http://www.wikidata.org/entity/Q5880958,Q5880958,Holland Harbor Light,Michigan,Holland,42.7727,-86.2124,1872,13,15,14,Alt WR 10s,http://www.wikidata.org/entity/Q19558910,http://commons.wikimedia.org/wiki/Special:FilePath/Holland%20Harbor%20Light%20-%20Holland%2C%20Michigan.jpg,2008,,,,ngo
http://www.wikidata.org/entity/Q5898379,Q5898379,Hooper Island Light,Maryland,Dorchester County,38.25625,-76.24980556,1901,"10,5",19,9,"Fl W, 6s",http://www.wikidata.org/entity/Q19558910,http://commons.wikimedia.org/wiki/Special:FilePath/Hooper.Island.Light.jpg,2009,,,x,ngo
http://www.wikidata.org/entity/Q5945338,Q5945338,Huntington Harbor Light,New York,Lloyd Harbor,40.910722,-73.431306,1857,13,12,9,Iso W 6s,http://www.wikidata.org/entity/Q19558910,http://commons.wikimedia.org/wiki/Special:FilePath/Lloydharbor.JPG,2012,,,,ngo
http://www.wikidata.org/entity/Q5997383,Q5997383,Ile Aux Galets,Michigan,Ile Aux Galets,45.676389,-85.171667,1888,18,18,11,Fl W 6s,http://www.wikidata.org/entity/Q19558910,http://commons.wikimedia.org/wiki/Special:FilePath/Ileauxgalets.JPG,2016,,,,ngo
http://www.wikidata.org/entity/Q29096978,Q29096978,Keweenaw Waterway Lower Entrance Light,Michigan,Torch Lake Township,46.96888889,-88.43111111,1919,19,21,9,Fl W 6s,http://www.wikidata.org/entity/Q19558910,http://commons.wikimedia.org/wiki/Special:FilePath/Keweenaw%20Waterway%20Lower%20Entrance%20Light.jpg,2016,,,,ngo
http://www.wikidata.org/entity/Q6651703,Q6651703,Little River Light,Maine,Washington County,44.650885,-67.19209556,1846,12,17,13,Fl W 6s,http://www.wikidata.org/entity/Q19558910,http://commons.wikimedia.org/wiki/Special:FilePath/CutlerME%20LittleRiverLight.jpg,2002,,,,ngo
http://www.wikidata.org/entity/Q6861683,Q6861683,Milwaukee Breakwater Light,Wisconsin,Milwaukee,43.027,-87.882,1926,16,20,14,Fl R 10s,http://www.wikidata.org/entity/Q19558910,http://commons.wikimedia.org/wiki/Special:FilePath/MilwaukeeBreakwaterLighthouse.jpg,2013,,,,ngo
http://www.wikidata.org/entity/Q6942767,Q6942767,Muskegon South Pierhead Light,Michigan,Muskegon,43.2267,-86.3415,1851,"14,5",15,6,Fl R 4s,http://www.wikidata.org/entity/Q19558910,http://commons.wikimedia.org/wiki/Special:FilePath/Laurentian%20in%20Muskegon%20%2814174248817%29.jpg,2010,,,,ngo
http://www.wikidata.org/entity/Q7009889,Q7009889,New London Harbor Light,Connecticut,New London,41.31666,-72.08997,1760,27,27,14,"Iso W 6s, R sector",http://www.wikidata.org/entity/Q19558910,http://commons.wikimedia.org/wiki/Special:FilePath/New%20london%20harbor%20light%20%2814422085964%29.jpg,2009,,,,ngo
http://www.wikidata.org/entity/Q12063850,Q12063850,New London Ledge Light,Connecticut,Groton,41.306121,-72.077286,1909,18,18,15,Fl(4) WR 30s,http://www.wikidata.org/entity/Q19558910,http://commons.wikimedia.org/wiki/Special:FilePath/New%20London%20Ledge%20Lighthouse.jpg,2014,,,,ngo
http://www.wikidata.org/entity/Q7207272,Q7207272,Poe Reef Light,Michigan,Cheboygan County,45.695,-84.361667,1929,17,22,9,Iso W 2s,http://www.wikidata.org/entity/Q19558910,http://commons.wikimedia.org/wiki/Special:FilePath/Poe%20Reef%20Light.JPG,2004,,,x,ngo
http://www.wikidata.org/entity/Q3560917,Q3560917,Point Retreat Light,Alaska,Juneau,58.411111,-134.953056,1904,"7,6",19,9,Fl W 6s,http://www.wikidata.org/entity/Q19558910,http://commons.wikimedia.org/wiki/Special:FilePath/USCGpointretreatWith.JPG,2003,,,x,ngo
http://www.wikidata.org/entity/Q7230493,Q7230493,Port Austin Light,Michigan,Port Austin,44.0833,-82.9833,1878,18,23,7,Fl W 6s,http://www.wikidata.org/entity/Q19558910,http://commons.wikimedia.org/wiki/Special:FilePath/Port%20Austin%20Reef.jpg,2013,,,x,ngo
http://www.wikidata.org/entity/Q7278919,Q7278919,Race Rock Light,New York,Long Island,41.2435,-72.047,1878,14,20,16,Fl R 10s,http://www.wikidata.org/entity/Q19558910,http://commons.wikimedia.org/wiki/Special:FilePath/Race%20Rock%20Light%2C%20north.jpg,2013,,,x,ngo
http://www.wikidata.org/entity/Q425986,Q425986,Robbins Reef Light,New Jersey,Bayonne,40.657364,-74.065355,1839,14,17,7,Fl G 6s,http://www.wikidata.org/entity/Q19558910,http://commons.wikimedia.org/wiki/Special:FilePath/Robbinsreef2003.jpg,2011,,,,ngo
http://www.wikidata.org/entity/Q2856088,Q2856088,Sentinel Island Light,Alaska,Juneau,58.546111,-134.920278,1902,13,26,16,Fl W 10s,http://www.wikidata.org/entity/Q19558910,http://commons.wikimedia.org/wiki/Special:FilePath/Sentinel%20Island%20Light%2006.jpg,2006,,,x,ngo
http://www.wikidata.org/entity/Q14716282,Q14716282,South Manitou Island Lighthouse,Michigan,Michigan,45.0072,-86.0939,1840,20,32,18,F W,http://www.wikidata.org/entity/Q19558910,http://commons.wikimedia.org/wiki/Special:FilePath/Southmanitoulighthouse.jpg,2004,,,,ngo
http://www.wikidata.org/entity/Q7587188,Q7587188,St. Augustine Light,Florida,St. Augustine,29.8856,-81.2886,1824,50,49,19,FFl W 30s,http://www.wikidata.org/entity/Q19558910,http://commons.wikimedia.org/wiki/Special:FilePath/St.%20Augustine%20Lighthouse%20Main%20View.jpg,2002,,,,ngo
http://www.wikidata.org/entity/Q7591684,Q7591684,St. Simons Island Light,Georgia,Glynn County,31.133056,-81.391667,1810,32,32,15,"FF W, FI W 60s",http://www.wikidata.org/entity/Q19558910,http://commons.wikimedia.org/wiki/Special:FilePath/Lighthouse%20and%20museum%2C%20St.%20Simons%2C%20GA%2C%20USA.JPG,2004,,,,ngo
http://www.wikidata.org/entity/Q2331864,Q2331864,Stannard Rock Light,Michigan,Marquette County,47.183611,-87.218056,1883,30,31,18,Fl W 6s,http://www.wikidata.org/entity/Q19558910,http://commons.wikimedia.org/wiki/Special:FilePath/Stannard%20Rock%20Light%20USCG.jpg,2015,,,x,ngo
http://www.wikidata.org/entity/Q7621986,Q7621986,Stratford Shoal Light,Connecticut,Fairfield County,41.059806,-73.101306,1837,11,18,13,Fl W 5s,http://www.wikidata.org/entity/Q19558910,http://commons.wikimedia.org/wiki/Special:FilePath/Stratford%20Shoal%20Lighthouse%2C%20Long%20Island%20Sound%2C%20Bridgeport%20vicinity%20%28Fairfield%20County%2C%20Connecticut%29.jpg,2016,,,x,ngo
http://www.wikidata.org/entity/Q7728362,Q7728362,The Cuckolds Light,Maine,Lincoln County,43.7795,-69.65,1892,"14,5",18,12,Fl(2) W 6s,http://www.wikidata.org/entity/Q19558910,http://commons.wikimedia.org/wiki/Special:FilePath/Cuckolds%20Lighthouse%20Maine1975.JPG,2006,,,,ngo
http://www.wikidata.org/entity/Q14716827,Q14716827,Toledo Harbor Light,Ohio,Lucas County,41.7178,-83.4214,1901,21,22,10,Iso W 6s,http://www.wikidata.org/entity/Q19558910,http://www.wikidata.org/entity/Q19558910,2006,,,x,ngo
http://www.wikidata.org/entity/Q7859692,Q7859692,Tybee Island Lighthouse and Museum,Georgia,Tybee Island,32.022222222,-80.845638888,1736,44,44,16,F W,,http://commons.wikimedia.org/wiki/Special:FilePath/Tybeelight.jpg,2002,,,,ngo
http://www.wikidata.org/entity/Q2566433,Q2566433,Whaleback Light,Maine,Kittery,43.058816,-70.69638,1830,15,18,14,Fl(2) W 10s,http://www.wikidata.org/entity/Q19558910,http://commons.wikimedia.org/wiki/Special:FilePath/WhalebackLight2007.jpg,2009,,,,ngo
http://www.wikidata.org/entity/Q33320700,Q33320700,Cleveland East Pierhead Light,Ohio,Cleveland,41.510277777,-81.715277777,1911,"9,5",12,7,Iso G 6s,http://www.wikidata.org/entity/Q19558910,http://commons.wikimedia.org/wiki/Special:FilePath/Cleveland%20East%20Pierhead%20Light.JPG,2009,"$10,000",,,publicSale
http://www.wikidata.org/entity/Q4928091,Q4928091,Bloody Point Bar Light,Maryland,Queen Anne's County,38.833,-76.391,1882,12,16,7,"FI W 6s, R sectors",,http://commons.wikimedia.org/wiki/Special:FilePath/BLOODY%20POINT%20LIGHT%2072%20500.jpg,2007,"$100,000",,x,publicSale
http://www.wikidata.org/entity/Q7995386,Q7995386,White Shoal Light,Michigan,Emmet County,45.842222,-85.135278,1910,37,38,17,Fl W 5s,http://www.wikidata.org/entity/Q19558910,http://commons.wikimedia.org/wiki/Special:FilePath/White%20Shoal%20Lighthouse.JPG,2016,"$110,009",,x,publicSale
http://www.wikidata.org/entity/Q5475901,Q5475901,Fourteen Foot Shoal Light,Michigan,Cheboygan,45.6798,-84.435,1929,17,17,9,Oc W 4s,http://www.wikidata.org/entity/Q19558910,http://commons.wikimedia.org/wiki/Special:FilePath/Fourteen%20Foot%20Shoal%20Light%20-%20Cheboygan%20Michigan.jpg,2017,"$133,333",,x,publicSale
http://www.wikidata.org/entity/Q6749931,Q6749931,Manistique East Breakwater Light,Michigan,Manistique,45.9446,-86.2472,1916,11,15,10,Iso R 6s,http://www.wikidata.org/entity/Q19558910,http://commons.wikimedia.org/wiki/Special:FilePath/Manistique%20East%20Breakwater%20Lighthouse13.jpg,2013,"$15,000",,,publicSale
