satImageFN,imageFN,Name,ID,State,County,Latitude,Longitude,Date of inception,Height (m),Focalheight (m),Range (nm),Light characteristic,heritageDesignation,Conveyd Lightstaition,yearOfTransfer,"
proceeds"
Q4944488.png,Q4944488.jpg,Borden Flats Light,Q4944488,Massachusetts,Massachusetts,41.704441,-71.174396,1875,15,14,11,Fl W 2.5s,http://www.wikidata.org/entity/Q19558910,publicSale,2010,"$56,569"
Q4849167.png,Q4849167.jpg,Baker Island Light,Q4849167,Maine,Cranberry Isles,44.24120861,-68.19901167,1828,13,32,10,Fl W 10s,http://www.wikidata.org/entity/Q19558910,federalTransfer,2011,
Q6397941.png,Q6397941.jpg,Kewaunee Pierhead Lighthouse,Q6397941,Wisconsin,Kewaunee,44.4572,-87.4931,1891,13,"13,5",15,F W,http://www.wikidata.org/entity/Q19558910,LocalGov,2011,
Q12061470.png,Q12061470.jpg,Manistee Pierhead lights,Q12061470,Michigan,Manistee,44.2517,-86.3464,1870,12,17,15,Iso W 6s,http://www.wikidata.org/entity/Q19558910,LocalGov,2011,
Q425986.png,Q425986.jpg,Robbins Reef Light,Q425986,New Jersey,Bayonne,40.657364,-74.065355,1839,14,17,7,Fl G 6s,http://www.wikidata.org/entity/Q19558910,ngo,2011,
Q6391315.png,Q6391315.jpg,Kenosha North Pier Light,Q6391315,Wisconsin,Kenosha,42.5888,-87.8086,1906,15,15,11,Iso R 6s,http://www.wikidata.org/entity/Q19558910,publicSale,2011,"$17,000"
Q7288480.png,Q7288480.jpg,Ram Island Ledge Light,Q7288480,Maine,Portland,43.63147222,-70.18736111,1905,22,"23,5",8,Fl(2) W 6s,http://www.wikidata.org/entity/Q19558910,publicSale,2011,"$190,000"
Q6750266.png,Q6750266.jpg,Manitowoc Breakwater Light,Q6750266,Wisconsin,Manitowoc,44.0928,-87.6436,1918,12,16,13,Iso W 6s,,publicSale,2011,"$30,000"
Q81643507.png,Q81643507.jpg,Conneaut Harbor Light,Q81643507,Ohio,Ashtabula County,41.979722222,-80.558055555,1905,12,16,13,Fl WR 5s,http://www.wikidata.org/entity/Q19558910,publicSale,2011,"$46,000"
Q5430706.png,Q5430706.jpg,Fairport Harbor West Breakwater Light,Q5430706,Ohio,Fairport Harbor,41.7679,-81.2812,1925,13,17,13,Iso W 6s,http://www.wikidata.org/entity/Q19558910,publicSale,2011,"$71,010"
Q5598744.png,Q5598744.jpg,Great Beds Light,Q5598744,New Jersey,South Amboy,40.48666667,-74.25333333,1880,19,19,6,Fl R 6s,http://www.wikidata.org/entity/Q19558910,publicSale,2011,"$90,000"
Q7363153.png,Q7363153.jpg,Romer Shoal Light,Q7363153,New Jersey,Highlands,40.513006,-74.01352,1838,16,16,15,Fl(2) W 15s,http://www.wikidata.org/entity/Q19558910,publicSale,2011,"$90,000"
Q7193314.png,Q7193314.jpg,Pigeon Point Lighthouse,Q7193314,California,San Mateo County,37.18166667,-122.39388889,1872,35,45,24,Fl W 10s,http://www.wikidata.org/entity/Q2933979,stateGov,2011,
Q5476370.png,Q5476370.jpg,Fowey Rocks Light,Q5476370,Florida,Miami-Dade County,25.59061111,-80.09666667,1887,34,34,10,"Fl W 10s , 2 R sectors",http://www.wikidata.org/entity/Q19558910,federalTransfer,2012,
Q16840774.png,Q16840774.jpg,Grand Haven South Pierhead Entrance Light,Q16840774,Michigan,Grand Haven,43.056944444,-86.255833333,1839,11,13,17,Fl R 10s,,LocalGov,2012,
Q16840779.png,Q16840779.jpg,Grand Haven South Pierhead Inner Light,Q16840779,Michigan,Grand Haven,43.057222222,-86.253888888,1881,15,16,3,Oc R 4s,,ngo,2012,
Q5945338.png,Q5945338.jpg,Huntington Harbor Light,Q5945338,New York,Lloyd Harbor,40.910722,-73.431306,1857,13,12,9,Iso W 6s,http://www.wikidata.org/entity/Q19558910,ngo,2012,
Q5270818.png,Q5270818.jpg,Diamond Head Light,Q5270818,North Carolina,Oahu,21.256944,-157.809444,1898,17,45,14,Oc(2) WR 10s,http://www.wikidata.org/entity/Q19558910,publicSale,2012,"$20,000"
Q6650223.png,Q6650223.jpg,Little Gull Island Light,Q6650223,New York,Suffolk County,41.20638889,-72.10694444,1806,25,28,18,Fl(2) W 15s,,publicSale,2012,"$381,000"
Q7497932.png,Q7497932.jpg,Ship John Shoal Light,Q7497932,New Jersey,Cumberland County,39.305278,-75.376667,1877,14,15,12,"Fl W 5s, R sector",http://www.wikidata.org/entity/Q19558910,publicSale,2012,"$60,200"
Q15256004.png,Q15256004.jpg,Moose Peak Light Shalen’s New Home,Q15256004,Maine,Washington County,44.47458056,-67.53199167,1827,"17,5",22,20,Fl W 30s,,publicSale,2012,"$93,500"
Q7354843.png,Q7354843.jpg,Rock of Ages Light,Q7354843,Michigan,Keweenaw County,47.866667,-89.313333,1908,36,36,17,Fl(2) W 10s,http://www.wikidata.org/entity/Q19558910,federalTransfer,2013,
Q5337606.png,Q5337606.jpg,Edgartown Harbor Light,Q5337606,Massachusetts,Dukes county,41.39111,-70.50306,1828,"13,5",13,5,Fl R 6s,http://www.wikidata.org/entity/Q19558910,LocalGov,2013,
Q7621171.png,Q7621171.jpg,Straitsmouth Island Light,Q7621171,Massachusetts,Rockport,42.6623,-70.5881,1835,11,14,6,Fl G 6s,http://www.wikidata.org/entity/Q19558910,LocalGov,2013,
Q4734801.png,Q4734801.jpg,Alpena Light,Q4734801,Michigan,Alpena,45.060278,-83.423056,1875,10,13,12,Fl R 6s,http://www.wikidata.org/entity/Q19558910,ngo,2013,
Q4957291.png,Q4957291.jpg,Brandywine Shoal Light,Q4957291,New Jersey,Cape May County,38.9864,-75.1135,1828,14,18,13,"FI W 10s, R sector",http://www.wikidata.org/entity/Q19558910,ngo,2013,
Q6861683.png,Q6861683.jpg,Milwaukee Breakwater Light,Q6861683,Wisconsin,Milwaukee,43.027,-87.882,1926,16,20,14,Fl R 10s,http://www.wikidata.org/entity/Q19558910,ngo,2013,
Q7230493.png,Q7230493.jpg,Port Austin Light,Q7230493,Michigan,Port Austin,44.0833,-82.9833,1878,18,23,7,Fl W 6s,http://www.wikidata.org/entity/Q19558910,ngo,2013,
Q7278919.png,Q7278919.jpg,Race Rock Light,Q7278919,New York,Long Island,41.2435,-72.047,1878,14,20,16,Fl R 10s,http://www.wikidata.org/entity/Q19558910,ngo,2013,
Q6749931.png,Q6749931.jpg,Manistique East Breakwater Light,Q6749931,Michigan,Manistique,45.9446,-86.2472,1916,11,15,10,Iso R 6s,http://www.wikidata.org/entity/Q19558910,publicSale,2013,"$15,000"
Q5132124.png,Q5132124.jpg,Cleveland East Ledge Light,Q5132124,Massachusetts,Falmouth,41.630964,-70.694179,1943,21,23,15,Fl W 10s,http://www.wikidata.org/entity/Q19558910,publicSale,2013,"$190,000"
Q6646553.png,Q6646553.jpg,Liston Range Rear Light,Q6646553,Delaware,New Castle County,39.5239,-75.639,1877,37,54,19,F W,http://www.wikidata.org/entity/Q19558910,publicSale,2013,"$22,003"
Q7102309.png,Q7102309.jpg,Orient Point Light,Q7102309,New York,Suffolk County,41.163442,-72.223615,1899,16,20,17,Fl W 5s,http://www.wikidata.org/entity/Q19558910,publicSale,2013,"$252,000"
Q14537875.png,Q14537875.jpg,The Graves Light,Q14537875,Massachusetts,Boston,42.3649,-70.8691,1903,34,29,15,Fl(2) W 12s,http://www.wikidata.org/entity/Q19558910,publicSale,2013,"$933,888"
Q6936687.png,Q6936687.jpg,Munising Front Range Light,Q6936687,Michigan,Munising,46.4151,-86.6611,1908,58,79,13,F R,,federalTransfer,2014,
Q7260562.png,Q7260562.jpg,Punta Tuna Light,Q7260562,Puerto Rico,Maunabo,17.98830556,-65.88541667,1892,15,34,16,Fl(2) W 30s,http://www.wikidata.org/entity/Q19558910,LocalGov,2014,
Q4849264.png,Q4849264.jpg,Bakers Island Light,Q4849264,Massachusetts,Salem,42.536444,-70.785917,1791,18,34,14,Al WR 20s,http://www.wikidata.org/entity/Q19558910,ngo,2014,
Q12063850.png,Q12063850.jpg,New London Ledge Light,Q12063850,Connecticut,Groton,41.306121,-72.077286,1909,18,18,15,Fl(4) WR 30s,http://www.wikidata.org/entity/Q19558910,ngo,2014,
Q6869325.png,Q6869325.jpg,Minot's Ledge Light,Q6869325,Massachusetts,Norfolk County,42.269722,-70.759083,1850,27,26,10,Fl(1+4+3) W 45s,http://www.wikidata.org/entity/Q19558910,publicSale,2014,"$222,000"
